"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",160,0.778194254813083,2.60363919105785,1e-10,2.5e-09,1.57894736842105e-09,1895,"tags=69%, list=14%, signal=60%","PDLIM4/ACTA2/PMEPA1/BGN/HTRA1/MSX1/MATN2/MMP3/TFPI2/ABI3BP/MYL9/CTHRC1/COL4A1/VEGFC/COL1A2/THBS2/FGF2/SLIT2/IGFBP3/SERPINE2/PFN2/FN1/COL6A2/LAMA1/NTM/CXCL6/FSTL1/GREM1/COL4A2/CALD1/THY1/SNAI2/LOXL2/COL1A1/MMP1/PRRX1/FAP/CDH2/NID2/SERPINE1/COL3A1/BDNF/SFRP1/FBLN1/DKK1/LOX/NNMT/RHOB/ITGA2/COL16A1/DCN/PCOLCE/COL12A1/TPM2/COL5A2/PLOD2/MYLK/COL5A1/TNFRSF12A/IL6/GPC1/PTX3/ECM1/FERMT2/NT5E/INHBA/TIMP1/CCN2/CXCL1/SGCB/SPP1/GJA1/ADAM12/TNC/VIM/SLIT3/SPARC/DPYSL3/SCG2/FBN2/IGFBP4/LGALS1/LAMA2/CD59/FUCA1/DST/GEM/LAMA3/SDC4/MMP14/SERPINH1/DAB2/SGCG/EMP3/PLAUR/AREG/CAPG/IL15/ITGB3/TPM1/TGFBI/PMP22/TGM2/IL32/ENO2/SLC6A8/ITGB1/GADD45B/WNT5A/JUN"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",187,0.61819027959651,2.12575028729695,1e-10,2.5e-09,1.57894736842105e-09,3014,"tags=54%, list=22%, signal=43%","RNF31/BATF2/IFI27/IFIT1/CCL7/IFITM3/IFIT3/IFI44L/MT2A/OASL/ISG15/LGALS3BP/IL6/IFI30/C1R/MX1/IRF7/RSAD2/CFB/ISG20/KLRK1/IFIT2/B2M/CCL2/PTGS2/IFI44/USP18/ITGB7/LY6E/OAS2/EPSTI1/HLA-DRB1/CMPK2/MX2/SERPING1/OAS3/CD74/XAF1/RIGI/FPR1/UBE2L6/HLA-B/TAP1/SSPN/CDKN1A/CASP1/HELZ2/IFI35/DHX58/FCGR1A/IL15/ICAM1/LAP3/PSME2/ST3GAL5/HLA-DQA1/CD274/HLA-DMA/CFH/MYD88/PDE4B/SAMD9L/SOD2/PSMB9/CD40/PSMB8/CCL5/DDX60/SLAMF7/IL18BP/TNFSF10/PARP14/PLSCR1/BST2/PSMB10/IRF9/IFIH1/GPR18/PARP12/TXNIP/SAMHD1/CASP4/HLA-A/IL10RA/FGL2/CD86/CMKLR1/BTG1/IRF1/SP110/SECTM1/PSMA2/STAT1/STAT2/MARCHF1/IRF2/PSME1/EIF2AK2/TOR1B/IRF5/SOCS1"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",199,-0.639840011679924,-2.00316932653272,4.15952473048521e-10,6.93254121747535e-09,4.37844708472127e-09,2907,"tags=54%, list=21%, signal=43%","TP53/SMC4/PAICS/SSRP1/POLD2/PNN/STMN1/LBR/PCNA/NOP56/GINS3/DEPDC1/TMPO/SRSF1/RFC2/H2AX/LUC7L3/MLH1/PRIM2/KPNA2/CCNB2/POLA2/NUP153/TIPIN/CKS1B/NCAPD2/TFRC/BIRC5/PDS5B/DUT/AK2/CCNE1/HMGB2/NASP/TK1/CTPS1/WEE1/TACC3/NUP107/NUP205/TCF19/MYC/MXD3/PRKDC/BRCA2/DLGAP5/GINS4/RAD51AP1/HMMR/LIG1/WDR90/MCM7/CBX5/SMC1A/BARD1/CHEK2/CDCA3/ATAD2/KIF22/MSH2/RFC3/ASF1B/CDCA8/MCM3/AURKB/HELLS/TOP2A/DSCC1/EZH2/MCM5/CENPE/RACGAP1/MCM4/CIT/KIF2C/PLK4/TIMELESS/SPC24/MCM2/MKI67/MMS22L/SPC25/SPAG5/CENPM/MCM6/BUB1B/MELK/KIF4A/PLK1/POLE/RRM2/LMNB1/MYBL2/ORC6/BRCA1/CHEK1/KIF18B/GINS1/DIAPH3/E2F8/CDC25A/SUV39H1/ESPL1/PAN2/TBRG4/SHMT1/POLD1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",188,0.590523449598975,2.03196556018492,3.11323650629386e-09,3.89154563286733e-08,2.45781829444252e-08,2837,"tags=52%, list=20%, signal=42%","SPHK1/PMEPA1/FOSB/MSC/SIK1/FJX1/CCL20/PHLDA2/CXCL6/ACKR3/SERPINE1/RHOB/CCND1/HES1/IL1A/F3/IL6/PTX3/INHBA/IFIT2/CXCL1/CCL2/TNC/PTGS2/TNFSF9/IL1B/PHLDA1/FOSL1/KLF2/KLF4/CXCL3/GEM/LAMB3/SDC4/RIGI/SQSTM1/GPR183/SPSB1/TUBB2A/DUSP1/GFPT2/DUSP5/TAP1/CDKN1A/MAFF/CSF1/CD80/IL7R/PLAUR/AREG/OLR1/ICAM1/NINJ1/TNF/G0S2/ATF3/SGK1/GADD45B/CCRL2/PDE4B/JUN/TRIP10/SOD2/CXCL2/BTG2/IER3/FOS/DNAJB4/SERPINB2/CCL4/PLAU/BTG3/CCL5/DRAM1/NFKB2/PTPRE/BIRC3/TRAF1/PLK2/CEBPB/SAT1/SLC16A6/NR4A2/PANX1/IFIH1/CSF2/HBEGF/PLPP3/BTG1/SNN/IRF1/CD83/BCL2A1/NFKBIE/ZC3H12A/KLF6/IER5"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",195,-0.594634221566511,-1.85714945380236,1.28849313799452e-07,1.28849313799452e-06,8.13785139786013e-07,2436,"tags=45%, list=17%, signal=37%","FBXO5/TNPO2/PRIM2/SMC2/KPNA2/CCNB2/POLA2/KPNB1/PRC1/CKS1B/ODF2/DKC1/UPF1/DBF4/BIRC5/PDS5B/SMARCC1/MAP3K20/NUSAP1/NASP/MNAT1/TENT4A/TACC3/RBM14/WRN/MYC/NDC80/BRCA2/HMMR/SMC1A/TFDP1/BARD1/NEK2/KIF22/CENPF/NSD2/FANCC/BUB1/MCM3/TTK/AURKB/CHAF1A/TOP2A/CDC6/EZH2/MCM5/CCNF/CENPE/CCNA2/UCK2/RACGAP1/KIF2C/MAPK14/PLK4/RBL1/TRAIP/E2F1/SLC7A5/MCM2/MKI67/INCENP/KIF11/MCM6/CDC7/SLC7A1/KIF4A/EXO1/PLK1/POLE/LMNB1/KNL1/MYBL2/STIL/TROAP/ORC6/CHEK1/CDC45/KIF15/POLQ/RAD54L/GINS2/CDC25A/SUV39H1/ESPL1/E2F2/PRMT5/HIRA"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",93,0.64306071724254,2.00705811355243,5.62014710760529e-07,4.68345592300441e-06,2.95797216189752e-06,2903,"tags=65%, list=21%, signal=51%","RNF31/BATF2/IFI27/IFITM3/IFIT3/IFI44L/OASL/ISG15/LGALS3BP/IFI30/PROCR/MX1/OAS1/IRF7/RSAD2/ISG20/IFIT2/B2M/IFI44/USP18/LY6E/EPSTI1/HLA-C/CMPK2/CD74/UBE2L6/TAP1/IFITM1/CASP1/CSF1/PARP9/HELZ2/IFI35/LPAR6/DHX58/SELL/IL15/LAP3/PSME2/TMEM140/CCRL2/SAMD9L/SAMD9/PSMB9/PSMB8/DDX60/CNP/PARP14/PLSCR1/BST2/IRF9/IFIH1/PARP12/TXNIP/IRF1/SP110/STAT2/IRF2/PSME1/EIF2AK2"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",164,0.551698702388831,1.86010446382958,1.72947266861764e-06,1.23533762044117e-05,7.80213233962846e-06,2838,"tags=49%, list=20%, signal=40%","SPHK1/TACR1/HAS2/CSF3/CCL20/CXCL6/CCL7/SERPINE1/AXL/OSMR/TPBG/TNFSF15/IL1A/F3/IL6/IRF7/CD70/DCBLD2/INHBA/TIMP1/PDPN/CCL2/CD14/SCN1B/TNFSF9/IL1B/LY6E/C5AR1/CCL24/MSR1/EBI3/SLC4A4/MMP14/FPR1/GPR183/IL10/CDKN1A/IFITM1/GABBR1/CCR7/CSF1/EMP3/IL7R/PLAUR/ADRM1/SELL/OLR1/C3AR1/IL15/ICAM1/ITGB3/MET/LCK/LTA/HRH1/CCRL2/PDE4B/BTG2/CD40/MARCO/BEST1/CXCL8/CCL5/HPN/PTPRE/TNFSF10/SLC31A2/BST2/HBEGF/SLAMF1/IL10RA/CMKLR1/STAB1/IRF1/MEFV/CHST2/LPAR1/SELENOS/KLF6/CLEC5A/AQP9"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",138,0.548723420891042,1.80349975474909,2.06955353642848e-05,0.00012934709602678,8.16929027537557e-05,2066,"tags=36%, list=15%, signal=31%","IKBKG/SHC1/LDLRAP1/PKD1/THBS3/CD209/NECTIN4/CLDN11/MYL9/SLIT2/EGFR/NFASC/THY1/MDK/PARVA/LAYN/ITGA2/COL16A1/TJP1/ACTN2/CDH4/ITGA3/ADAM23/MMP9/ADAMTS5/NECTIN3/RRAS/SGCE/CLDN7/SDC3/LAMB3/LAMA3/LIMA1/HRAS/SORBS3/JAM3/PIK3R3/CD276/ICAM1/INSIG1/PTK2/TGFBI/CD274/ITGB1/IRS1/MYL12B/STX4/MMP2/CD99/MAPK13"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",166,0.508481809550587,1.7202998772477,5.72588888781561e-05,0.000318104938211978,0.000200908382028618,2029,"tags=33%, list=15%, signal=29%","PDGFB/CSRP2/BGN/STC1/IGFBP3/CAV1/EGFR/ACKR3/SERPINE1/TPBG/LOX/DCN/KDELR3/MT2A/COL5A1/F3/IL6/GPC1/ERRFI1/ANGPTL4/CAVIN3/ISG20/CCN2/SRPX/STC2/P4HA2/MT1E/CAVIN1/SDC3/TMEM45A/CA12/SDC4/DUSP1/HS3ST1/CDKN1A/FBP1/MAFF/PPP1R3C/GAPDH/PLAUR/ANXA2/LDHA/PLIN2/SDC2/TGFBI/DDIT4/TGM2/ATF3/ENO2/JUN/S100A4/IER3/FOS/CP/DTNA"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",133,0.526180141400172,1.72868579550138,0.000105988323461406,0.000529941617307032,0.000334699968825494,1722,"tags=29%, list=12%, signal=26%","DBP/AMPH/CDON/HAS2/COL1A2/CAV1/PLCB4/DDAH1/SNAI2/COL1A1/MAP1B/SERPINE1/COL3A1/BDNF/TJP1/MMP16/COL5A2/NFIB/F3/RND3/SCN8A/MAGI2/RBPMS/GJA1/ID1/ADGRL2/MT1E/KALRN/CACNA1A/DUSP1/FHL2/DAB2/ANXA2/PIK3R3/INSIG1/ITGB3/MET/SDC2/PMP22"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",170,0.486159079384556,1.65796020378106,0.000127012809303731,0.000577330951380597,0.000364630074556167,2596,"tags=46%, list=19%, signal=38%","PDGFB/CTSV/PRSS36/PLAT/TFPI2/FN1/CDH13/COL4A2/SERPINE1/CASP5/ACTN2/C1QC/F3/IL6/C1R/CTSL/S100A13/IRF7/ANG/CFB/LGALS3/TIMP1/CXCL1/GNGT2/ANXA5/MMP12/PCLO/C1QA/FCER1G/C3/ZFPM2/LGMN/SERPING1/CD59/PLA2G7/CTSS/MMP14/DUSP5/CASP1/MAFF/CTSC/CALM1/PLAUR/CTSH/OLR1/C2/DPP4/CTSD/LAP3/LCK/APOBEC3G/DOCK9/CTSO/CFH/DOCK4/PSMB9/TIMP2/CP/STX4/CTSB/SERPINB2/CSRP1/CCL5/GATA3/ME1/C9/CEBPB/PLSCR1/CA2/LIPA/ADAM9/LRP1/SPOCK2/CD36/CASP4/HSPA1A/FDX1/IRF1"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",117,0.531682881689916,1.71283066263367,0.00018536577811805,0.000772357408825207,0.000487804679258025,2122,"tags=42%, list=15%, signal=36%","FKBP1B/SPHK1/SMTN/FST/FGF2/IGFBP3/CNN3/COL6A2/CDH13/COL4A2/COL1A1/COL3A1/ACTN2/TPM2/MYLK/NQO1/WWTR1/DENND2B/STC2/ADAM12/SPARC/AK1/NAV2/LAMA2/PVALB/TNNT1/DMD/CKB/FHL1/SSPN/CDKN1A/PPP1R3C/SGCG/SORBS3/MYO1C/KIFC3/SLC6A8/ITGB1/GPX3/GADD45B/PSEN2/GABARAPL2/PDE4DIP/MRAS/BIN1/DTNA/NCAM1/RIT1/ITGB5"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",90,0.547575506540568,1.69533755935414,0.000663854184976876,0.00255328532683414,0.00161260125905314,2280,"tags=57%, list=16%, signal=48%","DUSP14/PDGFB/HTRA1/CTSV/MMP3/PLAT/TFPI2/FN1/MMP1/SERPINE1/ITGA2/F3/C1R/S100A13/ANG/CFB/TIMP1/CD9/MMP9/CTSK/CRIP2/C1QA/SPARC/PRSS23/C3/GNG12/LGMN/PF4/SERPING1/MMP14/MAFF/CTSH/OLR1/C2/ISCU/DPP4/ITGB3/A2M/CAPN5/CTSO/CFH/THBD/CAPN2/MMP2/CTSB/SERPINB2/PLAU/CSRP1/HPN/C9/ANXA1"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",131,0.487774615793946,1.59932214290128,0.0010284348561389,0.00367298162906749,0.00231977787099,2685,"tags=35%, list=19%, signal=29%","HYAL2/SLC25A4/WIZ/FOSB/OLFM1/MSX1/CTSV/RHOB/IL6/RRAD/SPR/SHOX2/AQP3/HLA-F/MMP14/SQSTM1/TAP1/GAL/MAOA/ICAM1/ATP6V1F/EPHX1/ATF3/ENO2/SLC6A8/GPX3/CLTB/CDKN2B/SOD2/DNAJA1/CXCL2/BTG2/FOS/TMBIM6/BTG3/HMOX1/E2F5/CNP/CA2/CREG1/BTG1/IRF1/DNAJB1/PPP1R2/CDKN1C/SIGMAR1"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",145,0.452704068744151,1.50393786053263,0.00218622259566611,0.00728740865222037,0.00460257388561286,2855,"tags=48%, list=21%, signal=39%","SNAP25/PLAT/ITGBL1/IGFBP3/GNG11/CCL20/TMEM158/PRRX1/ETV1/ITGA2/ANGPTL4/CFB/DCBLD2/INHBA/PLEK2/PCSK1N/MMP9/ALDH1A3/SPP1/ADAMDEC1/PTGS2/SCN1B/IL1B/FCER1G/PDCD1LG2/PPBP/KLF4/FUCA1/SPON1/CTSS/EMP1/MAFB/GFPT2/GADD45G/IL7R/PLAUR/EPHB2/CLEC4A/ACE/C3AR1/G0S2/CFH/SCG5/F13A1/TFPI/PLAU/CD37/PSMB8/BIRC3/TRAF1/ETV5/KIF5C/CA2/LY96/CSF2/HBEGF/GLRX/GPNMB/IL10RA/JUP/TMEM176A/CMKLR1/TLR8/CPE/ANKH/MMD/PRELID3B/DNMBP/MPZL2/HDAC9"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",141,0.426972267706383,1.41339346808398,0.00866419962067799,0.0270756238146187,0.0171003939881802,2682,"tags=42%, list=19%, signal=34%","BGN/PLAT/CAV1/IGFBP6/IFITM3/RHOB/DCN/CCND1/IL1A/TNFRSF12A/IL6/LGALS3/ISG20/TIMP1/TGFB2/CD14/KRT18/IL1B/SQSTM1/PEA15/EMP1/TAP1/CDKN1A/CASP1/PMAIP1/IFNGR1/PTK2/TNF/ATF3/ENO2/GPX3/GADD45B/PSEN2/JUN/SOD2/DNAJA1/BTG2/IER3/TIMP2/MMP2/H1-0/VDAC2/BTG3/BIRC3/HMOX1/CCNA1/ANXA1/TNFSF10/SAT1/BCL10/BAX/TGFBR3/TXNIP/CASP4/CD2/HSPB1/IRF1/ANKH/FDXR"
